target_patient,model,selection_population,rank,channel,selected_channels,validation_cross_entropy,validation_auprc,validation_brier
PN00,P,personalized_training_events,1,C3,C3,0.9482521309355005,0.23187357072061138,0.33814177710234783
PN00,P,personalized_training_events,2,F8,"C3, F8",0.8050630900630583,0.32059718068142984,0.2894810475629998
PN00,P,personalized_training_events,3,FP2,"C3, F8, FP2",0.7690324677249796,0.23026902899365723,0.28555039347372435
PN00,P,personalized_training_events,4,F4,"C3, F8, FP2, F4",0.7497225388171074,0.3142593337854559,0.27689232206769576
PN00,P,personalized_training_events,5,FC6,"C3, F8, FP2, F4, FC6",0.7431947949258111,0.32260405917073576,0.2732565475805132
PN00,P,personalized_training_events,6,FP1,"C3, F8, FP2, F4, FC6, FP1",0.7478373633674048,0.32886589203513095,0.27407887977283285
PN00,P,personalized_training_events,7,T6,"C3, F8, FP2, F4, FC6, FP1, T6",0.7472183738414968,0.28485488661269015,0.27519140184954927
PN00,P,personalized_training_events,8,PZ,"C3, F8, FP2, F4, FC6, FP1, T6, PZ",0.7600748540441994,0.2480238224353019,0.28099236358729995
PN00,P,personalized_training_events,9,CZ,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ",0.7698635474336095,0.2557840515639406,0.2852917430754839
PN00,P,personalized_training_events,10,F7,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7",0.7788988460588555,0.26572502907634055,0.2889615834699345
PN00,P,personalized_training_events,11,P4,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4",0.7854884200287067,0.2391177530809861,0.29270738657917544
PN00,P,personalized_training_events,12,C4,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4",0.7929299039748462,0.24129930938488225,0.29518851073568075
PN00,P,personalized_training_events,13,F3,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3",0.8008036832923018,0.23910753514724217,0.29829768516384864
PN00,P,personalized_training_events,14,F10,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3, F10",0.8092262702048733,0.24752999814483598,0.30102482030206884
PN00,P,personalized_training_events,15,CP2,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3, F10, CP2",0.8171405715053235,0.2529629712670006,0.3040225868665403
PN00,P,personalized_training_events,16,CP1,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3, F10, CP2, CP1",0.8247395703638205,0.24921747624645668,0.30666056469627434
PN00,P,personalized_training_events,17,FC1,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3, F10, CP2, CP1, FC1",0.833306882946732,0.25242522019354313,0.3094032962236043
PN00,P,personalized_training_events,18,O2,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3, F10, CP2, CP1, FC1, O2",0.8427576467193048,0.25144787856722484,0.31267556655523626
PN00,P,personalized_training_events,19,T3,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3, F10, CP2, CP1, FC1, O2, T3",0.8520109570887838,0.2313553820634653,0.3194797681648637
PN00,P,personalized_training_events,20,P3,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3, F10, CP2, CP1, FC1, O2, T3, P3",0.8599289864279818,0.23364108210473297,0.322356558799162
PN00,P,personalized_training_events,21,CP6,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3, F10, CP2, CP1, FC1, O2, T3, P3, CP6",0.8688074463688243,0.23264430817955378,0.32534220891134924
PN00,P,personalized_training_events,22,FC2,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3, F10, CP2, CP1, FC1, O2, T3, P3, CP6, FC2",0.8777727379776978,0.23130204837506746,0.32863598777382175
PN00,P,personalized_training_events,23,T4,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3, F10, CP2, CP1, FC1, O2, T3, P3, CP6, FC2, T4",0.8867434489745969,0.23125084374861787,0.33182325917415706
PN00,P,personalized_training_events,24,CP5,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3, F10, CP2, CP1, FC1, O2, T3, P3, CP6, FC2, T4, CP5",0.8955429696098062,0.22951308123859931,0.335141139479878
PN00,P,personalized_training_events,25,FZ,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3, F10, CP2, CP1, FC1, O2, T3, P3, CP6, FC2, T4, CP5, FZ",0.906397567619862,0.22971845275833766,0.3389453054075645
PN00,P,personalized_training_events,26,F9,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3, F10, CP2, CP1, FC1, O2, T3, P3, CP6, FC2, T4, CP5, FZ, F9",0.9173845041730819,0.229779148689101,0.3432308721935667
PN00,P,personalized_training_events,27,O1,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3, F10, CP2, CP1, FC1, O2, T3, P3, CP6, FC2, T4, CP5, FZ, F9, O1",0.9281824679465801,0.22910416263293865,0.34721572551208385
PN00,P,personalized_training_events,28,FC5,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3, F10, CP2, CP1, FC1, O2, T3, P3, CP6, FC2, T4, CP5, FZ, F9, O1, FC5",0.9401259445445398,0.22762699434531478,0.3517749539669259
PN00,P,personalized_training_events,29,T5,"C3, F8, FP2, F4, FC6, FP1, T6, PZ, CZ, F7, P4, C4, F3, F10, CP2, CP1, FC1, O2, T3, P3, CP6, FC2, T4, CP5, FZ, F9, O1, FC5, T5",0.954367891581167,0.21891132767094929,0.35707935136822305
PN00,G,other_four_patients,1,C3,C3,0.6086845332084359,0.23723707747547412,0.20808784446865253
PN00,G,other_four_patients,2,F7,"C3, F7",0.6106237593645417,0.27381996553372434,0.20791613378224447
PN00,G,other_four_patients,3,P4,"C3, F7, P4",0.6080568281881781,0.2568300857897677,0.208366804827361
PN00,G,other_four_patients,4,CP2,"C3, F7, P4, CP2",0.609413701800028,0.24184164852954584,0.20860800588789236
PN00,G,other_four_patients,5,PZ,"C3, F7, P4, CP2, PZ",0.6111478658742965,0.24183877246901278,0.20953281933634946
PN00,G,other_four_patients,6,F9,"C3, F7, P4, CP2, PZ, F9",0.6129330586554583,0.2515093430173262,0.2100822136032022
PN00,G,other_four_patients,7,O2,"C3, F7, P4, CP2, PZ, F9, O2",0.6144784334604064,0.25428799242038036,0.2112492080174096
