model,channel,patients_selected,selection_fraction
P,C3,2,0.4
P,C4,4,0.8
P,CP1,4,0.8
P,CP2,3,0.6
P,CP5,1,0.2
P,CP6,1,0.2
P,CZ,3,0.6
P,F3,3,0.6
P,F4,4,0.8
P,F7,2,0.4
P,F8,4,0.8
P,F9,2,0.4
P,F10,4,0.8
P,FC1,1,0.2
P,FC2,2,0.4
P,FC5,3,0.6
P,FC6,5,1.0
P,FP1,3,0.6
P,FP2,4,0.8
P,FZ,2,0.4
P,O1,2,0.4
P,O2,2,0.4
P,P3,1,0.2
P,P4,4,0.8
P,PZ,3,0.6
P,T3,3,0.6
P,T4,4,0.8
P,T5,1,0.2
P,T6,3,0.6
G,C3,5,1.0
G,C4,2,0.4
G,CP1,4,0.8
G,CP2,4,0.8
G,CP5,2,0.4
G,CP6,2,0.4
G,CZ,4,0.8
G,F3,3,0.6
G,F4,0,0.0
G,F7,3,0.6
G,F8,0,0.0
G,F9,2,0.4
G,F10,1,0.2
G,FC1,1,0.2
G,FC2,0,0.0
G,FC5,5,1.0
G,FC6,1,0.2
G,FP1,4,0.8
G,FP2,3,0.6
G,FZ,3,0.6
G,O1,5,1.0
G,O2,5,1.0
G,P3,4,0.8
G,P4,5,1.0
G,PZ,5,1.0
G,T3,2,0.4
G,T4,1,0.2
G,T5,1,0.2
G,T6,3,0.6
