held_out_patient,rank,channel_added,selected_channels
PN00,1,T4,T4
PN00,2,PZ,"T4, PZ"
PN00,3,CP5,"T4, PZ, CP5"
PN00,4,FC6,"T4, PZ, CP5, FC6"
PN00,5,CP2,"T4, PZ, CP5, FC6, CP2"
PN00,6,FP2,"T4, PZ, CP5, FC6, CP2, FP2"
PN00,7,CP6,"T4, PZ, CP5, FC6, CP2, FP2, CP6"
PN00,8,P4,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4"
PN00,9,FP1,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1"
PN00,10,CP1,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1"
PN00,11,T3,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3"
PN00,12,FC1,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1"
PN00,13,P3,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3"
PN00,14,T5,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3, T5"
PN00,15,F4,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3, T5, F4"
PN00,16,T6,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3, T5, F4, T6"
PN00,17,F3,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3, T5, F4, T6, F3"
PN00,18,F9,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3, T5, F4, T6, F3, F9"
PN00,19,F10,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3, T5, F4, T6, F3, F9, F10"
PN00,20,O1,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3, T5, F4, T6, F3, F9, F10, O1"
PN00,21,FZ,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3, T5, F4, T6, F3, F9, F10, O1, FZ"
PN00,22,FC2,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3, T5, F4, T6, F3, F9, F10, O1, FZ, FC2"
PN00,23,FC5,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3, T5, F4, T6, F3, F9, F10, O1, FZ, FC2, FC5"
PN00,24,F7,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3, T5, F4, T6, F3, F9, F10, O1, FZ, FC2, FC5, F7"
PN00,25,F8,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3, T5, F4, T6, F3, F9, F10, O1, FZ, FC2, FC5, F7, F8"
PN00,26,C4,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3, T5, F4, T6, F3, F9, F10, O1, FZ, FC2, FC5, F7, F8, C4"
PN00,27,C3,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3, T5, F4, T6, F3, F9, F10, O1, FZ, FC2, FC5, F7, F8, C4, C3"
PN00,28,O2,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3, T5, F4, T6, F3, F9, F10, O1, FZ, FC2, FC5, F7, F8, C4, C3, O2"
PN00,29,CZ,"T4, PZ, CP5, FC6, CP2, FP2, CP6, P4, FP1, CP1, T3, FC1, P3, T5, F4, T6, F3, F9, F10, O1, FZ, FC2, FC5, F7, F8, C4, C3, O2, CZ"
PN01,1,T4,T4
PN01,2,PZ,"T4, PZ"
PN01,3,FC1,"T4, PZ, FC1"
PN01,4,T6,"T4, PZ, FC1, T6"
PN01,5,P4,"T4, PZ, FC1, T6, P4"
PN01,6,C4,"T4, PZ, FC1, T6, P4, C4"
PN01,7,T3,"T4, PZ, FC1, T6, P4, C4, T3"
PN01,8,F8,"T4, PZ, FC1, T6, P4, C4, T3, F8"
PN01,9,F4,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4"
PN01,10,FP1,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1"
PN01,11,F10,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10"
PN01,12,F3,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3"
PN01,13,CZ,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ"
PN01,14,T5,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ, T5"
PN01,15,CP5,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ, T5, CP5"
PN01,16,F7,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ, T5, CP5, F7"
PN01,17,FC2,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ, T5, CP5, F7, FC2"
PN01,18,P3,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ, T5, CP5, F7, FC2, P3"
PN01,19,FP2,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ, T5, CP5, F7, FC2, P3, FP2"
PN01,20,CP6,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ, T5, CP5, F7, FC2, P3, FP2, CP6"
PN01,21,FC6,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ, T5, CP5, F7, FC2, P3, FP2, CP6, FC6"
PN01,22,CP1,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ, T5, CP5, F7, FC2, P3, FP2, CP6, FC6, CP1"
PN01,23,C3,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ, T5, CP5, F7, FC2, P3, FP2, CP6, FC6, CP1, C3"
PN01,24,CP2,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ, T5, CP5, F7, FC2, P3, FP2, CP6, FC6, CP1, C3, CP2"
PN01,25,FC5,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ, T5, CP5, F7, FC2, P3, FP2, CP6, FC6, CP1, C3, CP2, FC5"
PN01,26,F9,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ, T5, CP5, F7, FC2, P3, FP2, CP6, FC6, CP1, C3, CP2, FC5, F9"
PN01,27,FZ,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ, T5, CP5, F7, FC2, P3, FP2, CP6, FC6, CP1, C3, CP2, FC5, F9, FZ"
PN01,28,O1,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ, T5, CP5, F7, FC2, P3, FP2, CP6, FC6, CP1, C3, CP2, FC5, F9, FZ, O1"
PN01,29,O2,"T4, PZ, FC1, T6, P4, C4, T3, F8, F4, FP1, F10, F3, CZ, T5, CP5, F7, FC2, P3, FP2, CP6, FC6, CP1, C3, CP2, FC5, F9, FZ, O1, O2"
PN03,1,T4,T4
PN03,2,T3,"T4, T3"
PN03,3,PZ,"T4, T3, PZ"
PN03,4,C4,"T4, T3, PZ, C4"
PN03,5,FC1,"T4, T3, PZ, C4, FC1"
PN03,6,CP5,"T4, T3, PZ, C4, FC1, CP5"
PN03,7,T6,"T4, T3, PZ, C4, FC1, CP5, T6"
PN03,8,FC6,"T4, T3, PZ, C4, FC1, CP5, T6, FC6"
PN03,9,T5,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5"
