k,mean_held_out_auprc,full_montage_mean_auprc,worst_patient_auprc_loss_from_full,meets_0.03_worst_patient_limit
1,0.24371474913577482,0.23777489446432173,0.16319340254098297,False
2,0.23450721037278335,0.23777489446432173,0.15777943184433232,False
3,0.23626651059367113,0.23777489446432173,0.11254885806442833,False
4,0.24252878005599324,0.23777489446432173,0.12435060519166519,False
5,0.22997625524488768,0.23777489446432173,0.0947445462556113,False
6,0.23796341659449186,0.23777489446432173,0.10894838531379203,False
7,0.2404293335007743,0.23777489446432173,0.10878162161451566,False
8,0.22517218113793816,0.23777489446432173,0.11972167798838784,False
9,0.2268757933707877,0.23777489446432173,0.11058501870802845,False
10,0.23281687308141305,0.23777489446432173,0.11758537098993876,False
11,0.23447821738935026,0.23777489446432173,0.10656168702760643,False
12,0.2327103095545588,0.23777489446432173,0.1054511675980529,False
13,0.23407999492810733,0.23777489446432173,0.09732491726284814,False
14,0.23406282869180892,0.23777489446432173,0.06170852888494388,False
15,0.23798689497331563,0.23777489446432173,0.042745434898177115,False
16,0.24339139659737877,0.23777489446432173,0.016720636614762585,True
17,0.24050560179199945,0.23777489446432173,0.04567394906934602,False
18,0.24030432706236238,0.23777489446432173,0.02692643156830643,True
19,0.23869606446127553,0.23777489446432173,0.06557395167530444,False
20,0.23929952002447522,0.23777489446432173,0.05683360560063455,False
21,0.23962080434884542,0.23777489446432173,0.05988895773879993,False
22,0.23953142432799499,0.23777489446432173,0.05523144721321005,False
23,0.23907592421212145,0.23777489446432173,0.036995889572191354,False
24,0.2372569023254833,0.23777489446432173,0.036411064141055716,False
25,0.2393986789926428,0.23777489446432173,0.026789219401926245,True
26,0.24072824023382916,0.23777489446432173,0.019291659019273544,True
27,0.23941054287496735,0.23777489446432173,0.02566581389323891,True
28,0.23851786615650253,0.23777489446432173,0.01122966951753418,True
29,0.23777489446432173,0.23777489446432173,0.0,True
