rank,step,channel,channels,selection_score,validation_alarm_utility,stability_frequency,validation_sensitivity,validation_false_alarms_per_hour,validation_time_in_warning,validation_auroc,validation_auprc,validation_brier
1,1,C3,C3,1.8233379629629631,1.773337962962963,1.0,1.0,3.0,0.31777777777777777,0.763912037037037,0.32176923950867997,0.2332845073498744
2,2,F9,"C3, F9",1.4171203703703703,1.4004537037037037,0.3333333333333333,1.0,6.0,0.42444444444444446,0.5328240740740741,0.1956728933812849,0.41419948747702673
3,3,F7,"C3, F9, F7",1.5320509259259263,1.4987175925925929,0.6666666666666666,1.0,5.0,0.4033333333333334,0.49775462962962963,0.19303487296203528,0.40787073942037155
4,4,FC6,"C3, F9, F7, FC6",1.542689814814815,1.5093564814814815,0.6666666666666666,1.0,5.0,0.38999999999999996,0.5342824074074074,0.20523270459932424,0.3777744605866221
5,5,FC2,"C3, F9, F7, FC6, FC2",1.5464166666666668,1.5130833333333333,0.6666666666666666,1.0,5.0,0.3744444444444445,0.5334722222222222,0.20242721495995142,0.3766816556778399
6,6,PZ,"C3, F9, F7, FC6, FC2, PZ",1.5474583333333334,1.514125,0.6666666666666666,1.0,5.0,0.3833333333333333,0.5497916666666667,0.20911599514506715,0.36382378737766785
7,7,O1,"C3, F9, F7, FC6, FC2, PZ, O1",1.5529351851851854,1.519601851851852,0.6666666666666666,1.0,5.0,0.37333333333333335,0.564675925925926,0.211546471811518,0.36696792750274326
8,8,P3,"C3, F9, F7, FC6, FC2, PZ, O1, P3",1.5529166666666667,1.5195833333333333,0.6666666666666666,1.0,5.0,0.3833333333333333,0.5770833333333334,0.2139505765910637,0.3650326464655947
9,9,F10,"C3, F9, F7, FC6, FC2, PZ, O1, P3, F10",1.5445370370370373,1.5278703703703707,0.3333333333333333,1.0,5.0,0.3577777777777778,0.586574074074074,0.2139077645879154,0.37086904406521415
10,10,FZ,"C3, F9, F7, FC6, FC2, PZ, O1, P3, F10, FZ",1.5516388888888892,1.5183055555555558,0.6666666666666666,1.0,5.0,0.3755555555555556,0.5609722222222223,0.20999218159300925,0.37568729717833727
11,11,O2,"C3, F9, F7, FC6, FC2, PZ, O1, P3, F10, FZ, O2",1.541310185185185,1.5246435185185183,0.3333333333333333,1.0,5.0,0.3544444444444444,0.5662731481481481,0.21312672915724962,0.36762493821155456
12,12,F8,"C3, F9, F7, FC6, FC2, PZ, O1, P3, F10, FZ, O2, F8",1.5459259259259257,1.529259259259259,0.3333333333333333,1.0,5.0,0.3622222222222222,0.5990740740740741,0.22268847965893335,0.3479793559494092
