channel,unit,samples_sampled,mean,std,rms,p005,p995,max_abs,flat_fraction,clipped_fraction,file,patient_id
EEG Fp1,uV,20480,3.278814697265625,28.486239122441333,28.674316821153948,-122.77625,75.45062499999995,195.875,0.014649152790663606,0.0,PN00\PN00-1.edf,PN00
EEG F3,uV,20480,3.55592041015625,25.487055724512544,25.733918851736775,-138.075625,71.82562499999995,169.5,0.01577225450461448,0.0,PN00\PN00-1.edf,PN00
EEG C3,uV,20480,-4.292315673828125,40.6859745800626,40.91176482838758,-186.075625,51.325624999999945,236.0,0.020606474925533472,0.0,PN00\PN00-1.edf,PN00
EEG P3,uV,20480,-7.80010986328125,56.37772988882338,56.91476206834556,-290.351875,51.875,367.625,0.02197372918599541,0.0,PN00\PN00-1.edf,PN00
EEG O1,uV,20480,-25.368206787109376,108.52430450952377,111.44985681852349,-501.700625,84.20062499999995,529.125,0.015137457883685727,0.0,PN00\PN00-1.edf,PN00
EEG F7,uV,20480,17.203875732421874,47.43899737631227,50.46218200084472,-144.02625,238.10187499999984,334.125,0.019434542702280386,0.0,PN00\PN00-1.edf,PN00
EEG T3,uV,20480,6.87491455078125,26.098306289474454,26.988627998839913,-87.25,115.25,179.375,0.016260559597636604,0.0,PN00\PN00-1.edf,PN00
EEG T5,uV,20480,5.56719970703125,33.807547926778795,34.26286633367696,-143.075625,119.32562499999995,338.5,0.014551491772059182,0.0,PN00\PN00-1.edf,PN00
EEG Fc1,uV,20480,2.924261474609375,18.6397035926596,18.86769342537905,-72.325625,46.125,123.625,0.02578250891156795,0.0,PN00\PN00-1.edf,PN00
EEG Fc5,uV,20480,6.42811279296875,25.55225338936641,26.348401988612434,-65.0,122.125,239.5,0.017725474876702965,0.0,PN00\PN00-1.edf,PN00
EEG Cp1,uV,20480,-22.443896484375,102.10851628776751,104.54605486526322,-499.75,40.25,535.5,0.02607549196738122,0.0,PN00\PN00-1.edf,PN00
EEG Cp5,uV,20480,-1.60316162109375,29.586558796854003,29.629960995975797,-114.5,57.575624999999945,166.0,0.022803847844133016,0.0,PN00\PN00-1.edf,PN00
EEG F9,uV,20480,9.157843017578125,35.23462560511648,36.40528711969367,-148.9275,136.40437499999962,203.125,0.012940084965086186,0.0,PN00\PN00-1.edf,PN00
EEG Fz,uV,20480,7.006915283203125,12.101626185068902,13.983784112647436,-33.875,73.75,88.75,0.026514966551101127,0.0,PN00\PN00-1.edf,PN00
