reading_index,minutes_before_onset,PN00_S01,PN00_S02,PN00_S03,PN00_S04,PN00_S05,PN01_S01,PN01_S02,PN03_S01,PN03_S02,PN05_S01,PN05_S02,PN05_S03,PN06_S01,PN06_S02,PN06_S03,PN06_S04,PN06_S05,PN07_S01,PN09_S01,PN09_S02,PN09_S03,PN10_S01,PN10_S02,PN10_S03,PN10_S04,PN10_S05,PN10_S06,PN10_S07,PN10_S08,PN10_S09,PN10_S10,PN11_S01,PN12_S01,PN12_S02,PN12_S03,PN12_S04,PN13_S01,PN13_S02,PN13_S03,PN14_S01,PN14_S02,PN14_S03,PN14_S04,PN16_S01,PN16_S02,PN17_S01,PN17_S02
0,5.0,"(60, 0.009855)","(58, 0.048975)","(59, 0.066969)","(59, 0.044843)","(59, 0.036574)","(59, 0.029155)","(59, 0.059087)","(59, 0.042845)","(57, 0.064574)","(59, 0.044753)","(60, 0.004699)","(59, 0.045323)","(56, 0.040570)","(59, 0.067646)","(58, 0.065391)","(60, 0.018447)","(59, 0.041153)","(55, 0.050165)","(56, 0.043819)","(10, 0.033986)","(59, 0.058569)","(60, 0.064553)","(58, 0.039180)","(55, 0.008813)","(1, 0.027805)","(57, 0.054808)","(59, 0.036373)","(58, 0.044586)","(59, 0.054302)","(59, 0.046130)","(59, 0.059813)","(58, 0.073447)","(58, 0.025720)","(59, 0.065643)","(58, 0.061729)","(60, 0.007981)","(59, 0.032518)","(59, 0.050424)","(60, 0.009918)","(59, 0.068968)","(58, 0.038912)","(36, 0.021899)","(59, 0.041218)","(59, 0.065192)","(39, 0.046696)","(60, 0.026521)","(60, 0.011219)"
1,4.916666666666667,"(60, 0.006079)","(56, 0.058154)","(59, 0.067108)","(58, 0.059210)","(43, 0.031702)","(59, 0.039240)","(59, 0.082792)","(57, 0.056574)","(57, 0.065322)","(59, 0.046399)","(60, 0.004729)","(59, 0.047841)","(58, 0.047781)","(59, 0.064153)","(58, 0.066997)","(60, 0.017360)","(59, 0.041856)","(55, 0.045041)","(59, 0.050413)","(57, 0.023998)","(59, 0.065269)","(59, 0.072331)","(58, 0.038797)","(60, 0.011088)","(1, 0.038567)","(58, 0.064601)","(59, 0.035790)","(58, 0.045191)","(59, 0.046793)","(59, 0.044614)","(59, 0.059543)","(58, 0.073286)","(58, 0.044333)","(59, 0.065626)","(59, 0.069593)","(60, 0.007816)","(57, 0.034939)","(59, 0.058077)","(60, 0.006949)","(59, 0.068496)","(58, 0.043327)","(36, 0.021860)","(59, 0.051573)","(59, 0.065940)","(39, 0.043727)","(56, 0.029611)","(60, 0.020036)"
2,4.833333333333333,"(60, 0.005767)","(56, 0.052731)","(58, 0.067241)","(58, 0.059950)","(59, 0.048339)","(59, 0.058675)","(59, 0.076519)","(56, 0.059414)","(58, 0.064226)","(58, 0.034311)","(60, 0.005115)","(58, 0.044640)","(58, 0.039249)","(58, 0.063926)","(58, 0.061211)","(60, 0.013572)","(59, 0.041470)","(55, 0.044826)","(56, 0.057386)","(57, 0.025094)","(59, 0.058081)","(57, 0.046927)","(59, 0.042957)","(60, 0.012310)","(1, 0.041477)","(58, 0.068195)","(59, 0.045489)","(58, 0.047500)","(58, 0.042060)","(59, 0.047048)","(59, 0.057850)","(58, 0.074252)","(58, 0.062303)","(59, 0.062999)","(53, 0.050516)","(11, 0.005550)","(57, 0.034535)","(59, 0.068995)","(60, 0.005331)","(57, 0.059776)","(58, 0.050179)","(37, 0.015962)","(59, 0.054992)","(57, 0.065867)","(35, 0.041764)","(60, 0.024659)","(60, 0.023181)"
3,4.75,"(60, 0.005960)","(56, 0.052617)","(58, 0.057362)","(58, 0.054941)","(59, 0.047964)","(57, 0.043788)","(58, 0.068029)","(56, 0.053762)","(58, 0.063120)","(57, 0.021495)","(60, 0.005107)","(57, 0.047813)","(56, 0.040214)","(58, 0.060346)","(55, 0.058006)","(60, 0.011462)","(59, 0.035805)","(55, 0.052371)","(56, 0.048842)","(57, 0.028691)","(59, 0.046256)","(54, 0.059294)","(59, 0.035873)","(60, 0.010688)","(1, 0.034913)","(57, 0.063228)","(59, 0.037556)","(59, 0.042123)","(57, 0.041658)","(57, 0.055635)","(58, 0.044292)","(58, 0.060779)","(58, 0.061309)","(52, 0.047722)","(53, 0.054847)","(60, 0.004581)","(57, 0.037172)","(57, 0.059510)","(20, 0.004894)","(57, 0.060197)","(51, 0.045456)","(50, 0.017165)","(57, 0.040412)","(57, 0.069331)","(39, 0.043877)","(60, 0.024570)","(60, 0.022972)"
4,4.666666666666667,"(60, 0.008550)","(56, 0.052017)","(57, 0.040371)","(58, 0.065992)","(54, 0.051821)","(53, 0.030332)","(58, 0.070153)","(56, 0.050614)","(57, 0.063767)","(55, 0.032519)","(60, 0.004102)","(57, 0.044842)","(56, 0.058908)","(55, 0.057501)","(55, 0.056360)","(60, 0.009220)","(59, 0.035098)","(55, 0.048531)","(56, 0.062886)","(43, 0.034522)","(59, 0.048987)","(54, 0.057957)","(59, 0.031202)","(60, 0.009852)","(1, 0.040517)","(58, 0.069077)","(59, 0.037096)","(59, 0.037980)","(58, 0.046163)","(57, 0.054905)","(46, 0.034396)","(55, 0.053984)","(58, 0.038144)","(55, 0.045096)","(53, 0.050806)","(60, 0.006567)","(57, 0.029061)","(57, 0.046090)","(60, 0.005792)","(55, 0.051556)","(58, 0.049262)","(60, 0.017117)","(59, 0.050514)","(57, 0.065911)","(35, 0.045330)","(60, 0.024407)","(60, 0.013960)"
5,4.583333333333333,"(56, 0.023308)","(56, 0.047250)","(57, 0.040151)","(57, 0.060172)","(55, 0.053366)","(53, 0.030269)","(55, 0.046980)","(56, 0.050564)","(56, 0.059546)","(55, 0.028082)","(60, 0.004101)","(57, 0.044494)","(56, 0.057447)","(55, 0.059457)","(55, 0.053651)","(60, 0.007944)","(59, 0.031224)","(55, 0.049170)","(56, 0.049200)","(39, 0.032851)","(59, 0.049100)","(54, 0.058945)","(53, 0.032807)","(56, 0.009518)","(27, 0.020044)","(58, 0.069263)","(59, 0.036959)","(59, 0.027577)","(56, 0.048769)","(57, 0.054677)","(49, 0.038311)","(55, 0.051689)","(51, 0.043907)","(55, 0.048790)","(58, 0.062052)","(60, 0.008501)","(57, 0.034244)","(53, 0.061241)","(60, 0.006442)","(55, 0.051980)","(51, 0.046014)","(50, 0.017074)","(53, 0.036011)","(57, 0.064111)","(35, 0.045097)","(60, 0.024703)","(60, 0.008879)"
6,4.5,"(40, 0.022129)","(56, 0.054403)","(57, 0.035462)","(56, 0.042827)","(55, 0.049185)","(53, 0.026366)","(55, 0.052757)","(57, 0.047337)","(57, 0.041069)","(55, 0.029758)","(60, 0.005456)","(57, 0.042533)","(56, 0.054872)","(55, 0.047366)","(55, 0.050807)","(60, 0.007949)","(59, 0.036696)","(55, 0.049170)","(53, 0.051531)","(39, 0.041756)","(58, 0.039951)","(54, 0.062251)","(50, 0.019905)","(60, 0.008420)","(23, 0.015283)","(54, 0.057956)","(56, 0.037049)","(59, 0.028006)","(54, 0.044634)","(57, 0.054416)","(50, 0.043665)","(55, 0.056005)","(51, 0.044278)","(52, 0.051594)","(59, 0.068410)","(60, 0.006316)","(55, 0.033467)","(53, 0.061100)","(20, 0.009604)","(55, 0.051583)","(51, 0.044907)","(50, 0.016753)","(57, 0.044852)","(57, 0.063926)","(33, 0.038480)","(56, 0.023091)","(60, 0.008443)"
7,4.416666666666667,"(23, 0.018496)","(56, 0.043669)","(57, 0.027454)","(56, 0.050839)","(54, 0.054052)","(53, 0.025816)","(53, 0.055692)","(56, 0.046137)","(56, 0.049245)","(53, 0.035415)","(60, 0.005500)","(57, 0.042272)","(56, 0.050097)","(55, 0.052048)","(54, 0.052035)","(60, 0.007389)","(55, 0.033175)","(52, 0.054108)","(53, 0.051580)","(42, 0.043876)","(55, 0.042789)","(54, 0.059310)","(49, 0.019791)","(60, 0.011509)","(1, 0.017209)","(53, 0.057510)","(59, 0.038531)","(59, 0.019008)","(55, 0.047212)","(53, 0.052736)","(51, 0.041295)","(53, 0.057241)","(51, 0.050530)","(52, 0.058066)","(59, 0.067908)","(55, 0.014707)","(55, 0.034650)","(53, 0.063125)","(16, 0.012938)","(55, 0.052005)","(51, 0.042839)","(38, 0.016191)","(51, 0.045537)","(57, 0.066948)","(50, 0.045842)","(56, 0.023095)","(60, 0.010764)"
8,4.333333333333333,"(23, 0.018861)","(51, 0.042912)","(49, 0.031829)","(57, 0.043631)","(51, 0.053315)","(53, 0.024316)","(53, 0.051050)","(56, 0.046137)","(56, 0.046942)","(53, 0.035409)","(60, 0.004838)","(49, 0.049241)","(58, 0.049201)","(55, 0.053864)","(54, 0.045925)","(60, 0.006819)","(59, 0.029490)","(52, 0.054108)","(51, 0.051119)","(43, 0.035015)","(51, 0.042889)","(54, 0.064665)","(52, 0.031711)","(60, 0.011583)","(1, 0.025107)","(53, 0.057504)","(51, 0.033360)","(57, 0.024943)","(54, 0.030365)","(57, 0.046882)","(51, 0.046992)","(53, 0.065800)","(51, 0.047825)","(52, 0.053762)","(58, 0.058398)","(55, 0.013823)","(53, 0.037581)","(51, 0.059010)","(6, 0.012982)","(54, 0.047710)","(50, 0.033509)","(26, 0.017695)","(51, 0.044410)","(53, 0.065271)","(53, 0.049183)","(56, 0.025545)","(60, 0.008544)"
9,4.25,"(53, 0.021401)","(51, 0.043683)","(49, 0.032168)","(50, 0.039308)","(54, 0.038550)","(50, 0.024568)","(48, 0.055312)","(56, 0.055750)","(48, 0.061054)","(52, 0.043584)","(60, 0.004440)","(49, 0.050657)","(56, 0.046517)","(55, 0.051639)","(54, 0.041244)","(60, 0.008254)","(59, 0.030185)","(52, 0.050516)","(51, 0.046174)","(39, 0.039650)","(51, 0.044789)","(54, 0.058581)","(49, 0.022391)","(60, 0.011541)","(1, 0.033936)","(53, 0.059058)","(56, 0.032717)","(55, 0.019411)","(54, 0.035048)","(52, 0.051047)","(51, 0.045418)","(53, 0.057246)","(51, 0.048220)","(52, 0.055675)","(51, 0.035857)","(60, 0.015707)","(55, 0.034475)","(51, 0.057089)","(16, 0.013300)","(55, 0.051244)","(51, 0.043401)","(26, 0.017633)","(51, 0.033008)","(53, 0.065283)","(53, 0.053317)","(56, 0.028829)","(60, 0.020584)"
