absolute_episode_bin,interval_start_seconds,interval_end_seconds,seconds_ahead_start,seconds_ahead_end,onset_probability,timing_probability_given_event,cumulative_onset_probability,survival_probability,state_elapsed_seconds
1,0,5,0,5,0.011124774316074072,0.013308525954910746,0.011124774316074072,0.9888752256839259,0
2,5,10,5,10,0.01100101371249049,0.01316047160718275,0.02212578802856456,0.9778742119714354,0
3,10,15,10,15,0.010878629917690997,0.013014064330659741,0.033004417946255554,0.9669955820537445,0
4,15,20,15,20,0.010757607614988594,0.012869285802046283,0.043762025561244144,0.9562379744387559,0
5,20,25,20,25,0.010637931658090967,0.012726117901889463,0.05439995721933511,0.9456000427806649,0
6,25,30,25,30,0.014473202968131356,0.0173142386424646,0.06887316018746646,0.9311268398125335,0
7,30,35,30,35,0.01608647637505639,0.019244191592378102,0.08495963656252285,0.9150403634374772,0
8,35,40,35,40,0.020355318104218215,0.024350991005636233,0.10531495466674107,0.8946850453332589,0
9,40,45,40,45,0.02026604036965695,0.024244188385300156,0.12558099503639802,0.874419004963602,0
10,45,50,45,50,0.019806982297314205,0.023695018928284087,0.14538797733371223,0.8546120226662878,0
11,50,55,50,55,0.019358322621004394,0.023158289033596378,0.16474629995471662,0.8352537000452833,0
12,55,60,55,60,0.019620412968771785,0.023471826737525712,0.1843667129234884,0.8156332870765116,0
13,60,65,60,65,0.019159522337524923,0.022920464997138634,0.20352623526101332,0.7964737647389867,0
14,65,70,65,70,0.018692368297651567,0.02236161036441023,0.22221860355866488,0.7777813964413351,0
15,70,75,70,75,0.02119967576824527,0.025361092924800155,0.24341827932691015,0.7565817206730898,0
16,75,80,75,80,0.021067363165414073,0.025202807852320392,0.2644856424923242,0.7355143575076758,0
17,80,85,80,85,0.020480732827122806,0.024501024170128574,0.284966375319447,0.715033624680553,0
18,85,90,85,90,0.020815068922889597,0.024900989192497325,0.3057814442423366,0.6942185557576634,0
19,90,95,90,95,0.019535946957367635,0.02337078036362708,0.32531739119970426,0.6746826088002957,0
20,95,100,95,100,0.019898259151651124,0.023804213088139563,0.3452156503513554,0.6547843496486446,0
21,100,105,100,105,0.01931140436674668,0.02310216090130288,0.36452705471810204,0.6354729452818979,0
22,105,110,105,110,0.019505499718547144,0.02333435644556949,0.3840325544366492,0.6159674455633508,0
23,110,115,110,115,0.019066083482579158,0.022808684444031495,0.40309863791922834,0.5969013620807717,0
24,115,120,115,120,0.01847592966522569,0.022102685637000415,0.42157456758445405,0.578425432415546,0
25,120,125,120,125,0.017904042920312925,0.02141853966048888,0.439478610504767,0.560521389495233,0
26,125,130,125,130,0.01734985782586826,0.020755570102303337,0.4568284683306353,0.5431715316693647,0
27,130,135,130,135,0.016812826461464987,0.020113121487284218,0.47364129479210026,0.5263587052078997,0
28,135,140,135,140,0.021038298986564476,0.02516803848373921,0.4946795937786647,0.5053204062213352,0
29,140,145,140,145,0.01897516060227133,0.022699913741984663,0.513654754380936,0.486345245619064,0
30,145,150,145,150,0.018118696882211023,0.0216753293932134,0.531773451263147,0.468226548736853,0
31,150,155,150,155,0.021672173186710143,0.025926339821376047,0.5534456244498571,0.4465543755501429,0
32,155,160,155,160,0.02066906242355108,0.024726322162782872,0.5741146868734082,0.42588531312659184,0
33,160,165,160,165,0.021590196525120963,0.025828271447361467,0.5957048833985291,0.4042951166014709,0
34,165,170,165,170,0.020535937577518745,0.024567065406795926,0.6162408209760478,0.3837591790239522,0
35,170,175,170,175,0.01949282645677905,0.023319195469860495,0.6357336474328269,0.3642663525671731,0
36,175,180,175,180,0.011992285707418957,0.014346326591568377,0.6477259331402458,0.35227406685975415,0
37,180,185,180,185,0.01159747867823598,0.013874020417458312,0.6593234118184819,0.34067658818151814,0
38,185,190,185,190,0.011764997822051568,0.014074422943394763,0.6710884096405334,0.3289115903594666,0
39,190,195,190,195,0.012190132751194937,0.014583010270929902,0.6832785423917284,0.31672145760827164,0
40,195,200,195,200,0.012304071203070173,0.014719314415262337,0.6955826135947986,0.30441738640520144,0
41,200,205,200,205,0.011826079691811523,0.014147494956001821,0.70740869328661,0.29259130671338995,0
42,205,210,205,210,0.009599985386642846,0.01148442665486694,0.7170086786732529,0.2829913213267471,0
43,210,215,210,215,0.009285007746127942,0.011107620080197615,0.7262936864193809,0.27370631358061914,0
44,215,220,215,220,0.008980364591555316,0.010743176612453952,0.7352740510109361,0.2647259489890639,0
45,220,225,220,225,0.008685716846159023,0.010390690615367555,0.7439597678570952,0.25604023214290483,0
46,225,230,225,230,0.0055659967732404085,0.0066585811466385375,0.7495257646303356,0.2504742353696644,0
47,230,235,230,235,0.005748150790810053,0.006876491317374692,0.7552739154211456,0.24472608457885436,0
48,235,240,235,240,0.004919961600664372,0.005885731683113638,0.76019387702181,0.23980612297819004,0
49,240,245,240,245,0.005030847737477399,0.006018384354339847,0.7652247247592874,0.23477527524071262,0
50,245,250,245,250,0.004808302444149093,0.005752154251305435,0.7700330272034365,0.22996697279656353,0
51,250,255,250,255,0.004709826263594281,0.005634347564390398,0.7747428534670308,0.22525714653296924,0
52,255,260,255,260,0.004613366919178482,0.005518953611014059,0.7793562203862092,0.22064377961379078,0
53,260,265,260,265,0.004518883105197223,0.005405922977316467,0.7838751034914064,0.21612489650859357,0
54,265,270,265,270,0.006184830673793537,0.007398889830059665,0.7900599341651999,0.20994006583480007,0
55,270,275,270,275,0.006333884067153763,0.007577201847709846,0.7963938182323537,0.20360618176764633,0
56,275,280,275,280,0.005924201043283482,0.0070870995767284015,0.8023180192756372,0.19768198072436283,0
57,280,285,280,285,0.007431869644470948,0.008890717892051515,0.8097498889201081,0.19025011107989187,0
58,285,290,285,290,0.007152467919488122,0.008556470652230384,0.8169023568395962,0.18309764316040378,0
59,290,295,290,295,0.009765933368322864,0.01168294960541008,0.8266682902079191,0.1733317097920809,0
