feature,readable_feature,observed_value,training_median,original_event_risk,counterfactual_event_risk,risk_change_when_observed,absolute_risk_change
median_absolute_channel_correlation_mean,median absolute channel correlation — context mean,0.4692340346515036,0.35690753835930766,0.5193407950483999,0.3636469653803639,0.15569382966803602,0.15569382966803602
hjorth_complexity_channel_p90_std,hjorth complexity channel p90 — context variability,2.6449173136178055,1.261039611069817,0.5193407950483999,0.45939056423048397,0.05995023081791595,0.05995023081791595
hjorth_mobility_mean,Hjorth mobility — context mean,0.4115063143311375,0.5715318393060548,0.5193407950483999,0.4848977776984815,0.03444301734991839,0.03444301734991839
hjorth_complexity_mean,Hjorth complexity — context mean,3.9326041317709968,2.679151852012871,0.5193407950483999,0.4968482533063897,0.022492541742010208,0.022492541742010208
hjorth_complexity_channel_p90_mean,hjorth complexity channel p90 — context mean,7.923244183703637,4.37523547366837,0.5193407950483999,0.49730799189621644,0.022032803152183478,0.022032803152183478
log_rms_channel_p90_mean,log rms channel p90 — context mean,3.912172744926911,3.0810361784887252,0.5193407950483999,0.5026731598404602,0.01666763520793968,0.01666763520793968
zero_crossing_rate_channel_p90_mean,zero crossing rate channel p90 — context mean,0.205564263322884,0.2538270637408569,0.5193407950483999,0.5027238224960207,0.01661697255237926,0.01661697255237926
hjorth_mobility_channel_iqr_std,hjorth mobility channel iqr — context variability,0.0529237774732441,0.06368091208760995,0.5193407950483999,0.5331055716243672,-0.013764776575967308,0.013764776575967308
zero_crossing_rate_mean,zero-crossing rate — context mean,0.1217345872518286,0.1786833855799373,0.5193407950483999,0.5057790012480472,0.013561793800352717,0.013561793800352717
log_rms_channel_iqr_mean,log rms channel iqr — context mean,1.0734900326549095,0.5885054119535134,0.5193407950483999,0.5080177292033549,0.011323065845045055,0.011323065845045055
log_robust_range_channel_p90_mean,log robust range channel p90 — context mean,4.997340128486381,4.191385814345948,0.5193407950483999,0.508243254902406,0.011097540145993956,0.011097540145993956
log_mad_channel_p90_std,log mad channel p90 — context variability,0.5234521584822608,0.3691797200275097,0.5193407950483999,0.5102046843498089,0.009136110698590993,0.009136110698590993
log_rms_channel_p90_std,log rms channel p90 — context variability,0.4708527080353454,0.40489357536481835,0.5193407950483999,0.5282358931873755,-0.008895098138975599,0.008895098138975599
log_line_length_channel_iqr_mean,log line length channel iqr — context mean,0.51474339218391,0.3116679954787198,0.5193407950483999,0.5105941865503512,0.008746608498048758,0.008746608498048758
log_rms_mean,log RMS amplitude — context mean,2.77150091549693,2.371492695543572,0.5193407950483999,0.5106671414101681,0.008673653638231804,0.008673653638231804
log_robust_range_channel_iqr_std,log robust range channel iqr — context variability,0.2606941969724679,0.1748412821717866,0.5193407950483999,0.5274394434171479,-0.008098648368747963,0.008098648368747963
log_mad_channel_p90_mean,log mad channel p90 — context mean,3.861836638322347,2.8440479583307985,0.5193407950483999,0.527419466335368,-0.008078671286968042,0.008078671286968042
hjorth_mobility_channel_p90_mean,hjorth mobility channel p90 — context mean,0.6062853688903743,0.7815027147232081,0.5193407950483999,0.5122666158279012,0.007074179220498689,0.007074179220498689
log_robust_range_channel_iqr_mean,log robust range channel iqr — context mean,1.0923418641101896,0.6194051184696941,0.5193407950483999,0.513648143249761,0.00569265179863887,0.00569265179863887
log_mad_channel_iqr_mean,log mad channel iqr — context mean,1.0198719553204467,0.5436154234208886,0.5193407950483999,0.5250139841614739,-0.0056731891130740175,0.0056731891130740175
hjorth_complexity_std,Hjorth complexity — context variability,0.8517905603301328,0.5093033373651162,0.5193407950483999,0.5139145961306426,0.005426198917757308,0.005426198917757308
log_mad_mean,log robust amplitude — context mean,2.657098923892718,2.2317624281457302,0.5193407950483999,0.5140506204019033,0.005290174646496615,0.005290174646496615
zero_crossing_rate_channel_p90_std,zero crossing rate channel p90 — context variability,0.043220914320215,0.038851946160329,0.5193407950483999,0.5161227116682628,0.003218083380137071,0.003218083380137071
zero_crossing_rate_last,zero-crossing rate — most recent interval,0.1003134796238244,0.1818181818181818,0.5193407950483999,0.5163064447251512,0.0030343503232487246,0.0030343503232487246
log_line_length_channel_p90_std,log line length channel p90 — context variability,0.2535436321920721,0.16785651297444626,0.5193407950483999,0.5223272702908497,-0.002986475242449771,0.002986475242449771
hjorth_mobility_std,Hjorth mobility — context variability,0.0907930713342507,0.10439183049819645,0.5193407950483999,0.516582864869671,0.00275793017872894,0.00275793017872894
hjorth_mobility_channel_iqr_mean,hjorth mobility channel iqr — context mean,0.1850935677299728,0.22515312074311677,0.5193407950483999,0.5220273127542636,-0.0026865177058637,0.0026865177058637
log_line_length_channel_iqr_last,log line length channel iqr — most recent interval,0.5391979390002155,0.2852363129156199,0.5193407950483999,0.5220197790697196,-0.002678984021319719,0.002678984021319719
log_rms_std,log RMS amplitude — context variability,0.3153353276522584,0.2662518428164077,0.5193407950483999,0.5220192391502309,-0.0026784441018309346,0.0026784441018309346
hjorth_complexity_channel_iqr_mean,hjorth complexity channel iqr — context mean,1.9630833573798865,1.1532749865413492,0.5193407950483999,0.5166893354694239,0.0026514595789760564,0.0026514595789760564
log_robust_range_std,log robust peak-to-peak range — context variability,0.3347907824730852,0.28090829997658107,0.5193407950483999,0.5219128357763074,-0.0025720407279075097,0.0025720407279075097
log_rms_channel_iqr_std,log rms channel iqr — context variability,0.2613600127297706,0.16972149631887373,0.5193407950483999,0.5168338906155137,0.002506904432886259,0.002506904432886259
zero_crossing_rate_channel_iqr_std,zero crossing rate channel iqr — context variability,0.0165378246302282,0.0205545736488926,0.5193407950483999,0.5216676453440946,-0.0023268502956946824,0.0023268502956946824
hjorth_complexity_slope,Hjorth complexity — two-minute trend,-0.0100400670565843,-0.0001505764881929,0.5193407950483999,0.5216132207694277,-0.0022724257210278154,0.0022724257210278154
