absolute_episode_bin,interval_start_seconds,interval_end_seconds,seconds_ahead_start,seconds_ahead_end,onset_probability,timing_probability_given_event,cumulative_onset_probability,survival_probability,state_elapsed_seconds
1,0,5,0,5,0.010242700850109058,0.025971876311879256,0.010242700850109058,0.989757299149891,0
2,5,10,5,10,0.010137787929404233,0.02570585415230064,0.02038048877951329,0.9796195112204867,0
3,10,15,10,15,0.0100339496003615,0.025442556778122096,0.03041443837987479,0.9695855616201252,0
4,15,20,15,20,0.009931174856259925,0.025181956280181873,0.04034561323613471,0.9596543867638653,0
5,20,25,20,25,0.01067537624188097,0.02706898848207159,0.051020989478015685,0.9489790105219843,0
6,25,30,25,30,0.010699442862919725,0.027130012943686783,0.06172043234093541,0.9382795676590646,0
7,30,35,30,35,0.009674165784093925,0.0245302719313946,0.07139459812502934,0.9286054018749706,0
8,35,40,35,40,0.0067753026070373834,0.017179777468913814,0.07816990073206673,0.9218300992679332,0
9,40,45,40,45,0.006850633905278149,0.017370791068642408,0.08502053463734488,0.9149794653626551,0
10,45,50,45,50,0.0067997230216549995,0.01724169902624669,0.09182025765899988,0.9081797423410001,0
11,50,55,50,55,0.006749190485219442,0.017113566338859278,0.09856944814421932,0.9014305518557807,0
12,55,60,55,60,0.006476500703731051,0.016422121242495417,0.10504594884795038,0.8949540511520496,0
13,60,65,60,65,0.006429969042163695,0.016304133362491997,0.11147591789011407,0.8885240821098859,0
14,65,70,65,70,0.006692843078604854,0.01697068919185428,0.11816876096871892,0.881831239031281,0
15,70,75,70,75,0.006290271105426667,0.015949908672436716,0.12445903207414559,0.8755409679258545,0
16,75,80,75,80,0.006323321999732789,0.016033714081915843,0.1307823540738784,0.8692176459261216,0
17,80,85,80,85,0.006277653775655248,0.01591791557481481,0.13706000784953365,0.8629399921504664,0
18,85,90,85,90,0.006593525013463572,0.01671885361243705,0.14365353286299723,0.8563464671370028,0
19,90,95,90,95,0.006320532090973075,0.0160266398574228,0.1499740649539703,0.8500259350460297,0
20,95,100,95,100,0.005789102126738569,0.014679120926478136,0.1557631670807089,0.8442368329192911,0
21,100,105,100,105,0.005749675443325676,0.014579148764841062,0.16151284252403456,0.8384871574759655,0
22,105,110,105,110,0.005585643850996247,0.014163222507737189,0.1670984863750308,0.8329015136249692,0
23,110,115,110,115,0.005596350716892385,0.01419037134287469,0.17269483709192318,0.8273051629080768,0
24,115,120,115,120,0.00555874826229946,0.014095024782040581,0.17825358535422264,0.8217464146457774,0
25,120,125,120,125,0.005521398462456557,0.014000318864530261,0.1837749838166792,0.8162250161833208,0
26,125,130,125,130,0.00548429961975049,0.013906249285795511,0.1892592834364297,0.8107407165635703,0
27,130,135,130,135,0.007028008750308936,0.01782055110785407,0.19628729218673863,0.8037127078132613,0
28,135,140,135,140,0.007095767663072079,0.017992363809119578,0.2033830598498107,0.7966169401501892,0
29,140,145,140,145,0.006594566314048935,0.01672149398340974,0.20997762616385962,0.7900223738361404,0
30,145,150,145,150,0.007011009062042098,0.017777445894935337,0.21698863522590173,0.7830113647740983,0
31,150,155,150,155,0.0070749279526401915,0.017939521654532335,0.22406356317854192,0.7759364368214581,0
32,155,160,155,160,0.007011002181205839,0.017777428447561753,0.23107456535974777,0.7689254346402522,0
