k,mean_score,score_ci_lower,score_ci_upper,mean_difference_from_full,noninferiority_lower_bound,on_full_sensor_plateau
1,0.23724819974035521,0.20121238373880146,0.27328401574190897,-0.01230234565232898,-0.04768454976565029,False
2,0.25160107113020835,0.1993981751764704,0.3038039670839463,0.0020505257375241365,-0.024899837892445154,True
3,0.2559807652903735,0.20053605961807247,0.31142547096267453,0.0064302198976892416,-0.020948022486138446,True
4,0.26603395026976845,0.20978156348780583,0.32228633705173104,0.016483404877084266,-0.012602755356425192,True
5,0.27402128988412,0.21406373610478174,0.33397884366345826,0.024470744491435808,-0.006049085371933053,True
6,0.2738547505759873,0.20894399945845366,0.33876550169352093,0.024304205183303115,-0.012309010863356739,True
7,0.26797982787728764,0.2063516732058739,0.3296079825487014,0.01842928248460338,-0.01177841862336575,True
8,0.27706059051347576,0.21470966002742967,0.3394115209995219,0.027510045120791537,0.0018076215872384928,True
9,0.27406039377654245,0.21470455306010766,0.33341623449297725,0.024509848383858217,0.0002121626696439012,True
10,0.2657413429565553,0.20672827421326764,0.32475441169984304,0.01619079756387112,-0.007300717584780677,True
11,0.2630487331872669,0.20713264009677063,0.3189648262777632,0.013498187794582691,-0.005410643433356984,True
12,0.26480137690709504,0.20434407372226351,0.3252586800919266,0.015250831514410826,0.001201948808495664,True
13,0.260561702893853,0.2009902482795356,0.3201331575081704,0.011011157501168772,-0.0015425249195292184,True
14,0.25621981997724735,0.19961810156161316,0.3128215383928815,0.006669274584563208,-0.006255529005811776,True
15,0.25695390747398095,0.19901464153066573,0.31489317341729617,0.0074033620812967256,-0.004026455517055203,True
16,0.25487447407192526,0.1967099767601066,0.3130389713837439,0.005323928679241044,-0.0056376824156026736,True
17,0.25337450496935027,0.19604892615442504,0.3107000837842755,0.003823959576666058,-0.008565930642001979,True
18,0.25421972864827935,0.19945052648613792,0.3089889308104208,0.004669183255595176,-0.007489025432474141,True
19,0.2534099680478246,0.19818404784556992,0.3086358882500793,0.0038594226551404076,-0.006668794915638965,True
20,0.25135565633853896,0.19336550440504885,0.30934580827202907,0.001805110945854786,-0.006228050424081755,True
21,0.2504643685751435,0.1918855361465139,0.309043201003773,0.0009138231824592522,-0.006864402910682356,True
22,0.2490749701253904,0.19260900897908603,0.30554093127169474,-0.000475575267293814,-0.007226640179947617,True
23,0.24896424313904036,0.19204252968793006,0.30588595659015066,-0.0005863022536438885,-0.006327096846660565,True
24,0.25028463678188395,0.1919222714093173,0.3086470021544506,0.0007340913891997639,-0.004479625112378121,True
25,0.2507446656521505,0.19235124168673903,0.30913808961756195,0.0011941202594662945,-0.003797888309135594,True
26,0.25296784778154613,0.19243045832590108,0.3135052372371912,0.003417302388861904,-0.0012795156747500347,True
27,0.2513016446518041,0.19183034453644907,0.3107729447671591,0.0017510992591198982,-0.0003579409180762042,True
28,0.2505846703242686,0.1921020382987539,0.30906730234978336,0.0010341249315845152,-0.00046544117308686735,True
29,0.24955054539268423,0.1914893355962564,0.30761175518911205,0.0,0.0,True
