k,worst_held_out_patient_loss_from_29,meets_accepted_loss_limit
1,0.16359631784457662,False
2,0.14523538648858803,False
3,0.15558529177428115,False
4,0.1478316459051089,False
5,0.13678422556419556,False
6,0.15226207050497714,False
7,0.13818367561486633,False
8,0.07309213740069909,False
9,0.053179650840372794,False
10,0.07219338302172928,False
11,0.08171536817860159,False
12,0.029972702485801472,True
13,0.04808104714974831,False
14,0.05188795900279572,False
15,0.05231823183958162,False
16,0.055191514936277525,False
17,0.05962971148928917,False
18,0.041718722092277505,False
19,0.04043273477342707,False
20,0.034866282836822304,False
21,0.03812045650138901,False
22,0.02767414392528106,True
23,0.026214543674488527,True
24,0.01716818990694352,True
25,0.02249825256991106,True
26,0.018442375904945102,True
27,0.004833970809694665,True
28,0.0037862790995435713,True
29,0.0,True
