band,time_bin,time_to_onset_start,time_to_onset_end,n_patients,patient_mean_log2_change,patient_sd_log2_change,ci95_low,ci95_high
alpha,1,-60,-50,14,-0.14464351460293765,0.7853289647668491,-0.5309333158007196,0.2694526929378142
alpha,2,-50,-40,14,-0.14139029952531554,0.7464627556716563,-0.49503719622253056,0.261991605138677
alpha,3,-40,-30,14,-0.17836207161365733,0.585581063815451,-0.4611505021543773,0.10970537432663413
alpha,4,-30,-20,14,-0.2968274998738135,0.5842259313521498,-0.6293070408768296,-0.01688666784011952
alpha,5,-20,-10,14,-0.3782324971444401,0.8010812990893396,-0.7984361470994636,-0.004966468084842914
alpha,6,-10,0,14,-0.6085639727474981,0.9925358575667216,-1.1184138434459832,-0.13531236214934825
beta,1,-60,-50,14,-0.2273890136565244,0.8088028963009488,-0.6667595533571266,0.14315000719900506
beta,2,-50,-40,14,-0.19731685527839277,0.812105882868699,-0.619630815481353,0.1591990867086525
beta,3,-40,-30,14,-0.24300255205246524,0.8281107948687475,-0.7073076708781807,0.1343312068384007
beta,4,-30,-20,14,-0.26414079203735746,0.9745449577384517,-0.8408766018188663,0.1497801667805956
beta,5,-20,-10,14,-0.3421544591614068,1.072223994617674,-0.885059954355769,0.1533008163573032
beta,6,-10,0,14,-0.5154036501595307,1.0016334381918186,-1.0491245121749795,-0.04716817400997233
delta,1,-60,-50,14,-0.3177016751746243,0.904884979294536,-0.8592984595569967,0.019436099891826746
delta,2,-50,-40,14,-0.256189527078842,0.9054670699322666,-0.7918376906264859,0.05867161205512429
delta,3,-40,-30,14,-0.2775468590630222,0.9119889213814293,-0.7906310854105868,0.04581357541985978
delta,4,-30,-20,14,-0.10847875070330053,0.4136812517332862,-0.3286124329572738,0.08169449534512162
delta,5,-20,-10,14,-0.12765788784345594,0.5437706935756295,-0.43589158566413794,0.10328732456410715
delta,6,-10,0,14,-0.06544040458043397,0.4017991108823845,-0.26807011153650595,0.13084650898899447
gamma,1,-60,-50,14,-0.15869735659149192,0.6885589619322614,-0.48151977399839524,0.2206289524280739
gamma,2,-50,-40,14,-0.21588084113449715,0.698464576288599,-0.5760988225810171,0.1371951108800411
gamma,3,-40,-30,14,-0.10687277485089172,0.7748985674649383,-0.4912134987364345,0.3112726974441207
gamma,4,-30,-20,14,-0.06899324569650109,0.6738059743886581,-0.4176036334752803,0.26011887360211283
gamma,5,-20,-10,14,-0.08425391188687449,0.7460540569310072,-0.4380367731888881,0.29622133393816147
gamma,6,-10,0,14,-0.09861912418015754,0.8314953105438916,-0.5290879740771334,0.31519162615578683
theta,1,-60,-50,14,-0.3636336566288367,0.7921523237274228,-0.8117054072361005,0.019227754203732697
theta,2,-50,-40,14,-0.29732273337761905,0.6874038148133337,-0.7010711273601511,0.01448220373345553
theta,3,-40,-30,14,-0.27293892710034345,0.7873522669362488,-0.7219112123757893,0.08189264443244867
theta,4,-30,-20,14,-0.3770278615984101,0.766201970609283,-0.7962911219871668,-0.037223370625362795
theta,5,-20,-10,14,-0.3873119007296558,0.8105305726173354,-0.8491926261047983,-0.024780248305470404
theta,6,-10,0,14,-0.39171708196641714,0.7960456407587018,-0.810539858990875,-0.00271011551091944
