stateabbr,countyname,depression_adjprev,Value
CA,Alameda,18.9,24.39
CA,Alpine,23.5,46.86
CA,Amador,23.2,41.47
CA,Butte,26.0,46.4
CA,Calaveras,25.6,40.81
CA,Colusa,21.9,28.54
CA,Contra Costa,19.7,23.62
CA,Del Norte,24.3,73.63
CA,El Dorado,23.9,51.73
CA,Fresno,21.3,28.95
CA,Glenn,23.2,33.91
CA,Humboldt,26.8,65.66
CA,Imperial,20.0,3.5
CA,Inyo,23.8,9.38
CA,Kern,22.6,13.12
CA,Kings,20.7,12.37
CA,Lake,25.6,55.57
CA,Lassen,23.1,22.1
CA,Los Angeles,19.3,25.09
CA,Madera,21.9,28.39
CA,Marin,22.1,43.08
CA,Mariposa,25.0,42.56
CA,Mendocino,24.5,58.44
CA,Merced,21.3,16.61
CA,Modoc,26.5,18.77
CA,Mono,23.4,25.02
CA,Monterey,19.4,29.09
CA,Napa,21.8,39.4
CA,Nevada,25.3,54.53
CA,Orange,19.4,20.51
CA,Placer,22.5,52.73
CA,Plumas,26.3,47.95
CA,Riverside,22.0,9.97
CA,Sacramento,22.7,21.8
CA,San Benito,20.3,23.61
CA,San Bernardino,19.5,7.55
CA,San Diego,21.2,21.02
CA,San Francisco,19.8,30.89
CA,San Joaquin,19.7,18.57
CA,San Luis Obispo,23.7,29.07
CA,San Mateo,18.7,35.25
CA,Santa Barbara,21.8,32.74
CA,Santa Clara,17.9,31.82
CA,Santa Cruz,23.3,43.68
CA,Shasta,25.6,45.9
CA,Sierra,26.0,51.21
CA,Siskiyou,26.2,34.7
CA,Solano,19.9,26.31
CA,Sonoma,23.9,53.0
CA,Stanislaus,21.0,18.81
CA,Sutter,22.0,23.12
CA,Tehama,25.2,42.41
CA,Trinity,27.7,62.65
CA,Tulare,22.1,34.76
CA,Tuolumne,25.5,53.59
CA,Ventura,21.1,37.29
CA,Yolo,23.3,26.55
CA,Yuba,23.6,37.98
