"stateabbr","countyname","countyfips","depression_adjprev"
"CA","Solano","06095","19.9"
"CA","Placer","06061","22.5"
"CA","Kings","06031","20.7"
"CA","Fresno","06019","21.3"
"CA","Amador","06005","23.2"
"CA","Santa Barbara","06083","21.8"
"CA","Orange","06059","19.4"
"CA","Modoc","06049","26.5"
"CA","Tehama","06103","25.2"
"CA","San Benito","06069","20.3"
"CA","Yolo","06113","23.3"
"CA","Madera","06039","21.9"
"CA","Siskiyou","06093","26.2"
"CA","Kern","06029","22.6"
"CA","Sacramento","06067","22.7"
"CA","Colusa","06011","21.9"
"CA","Santa Clara","06085","17.9"
"CA","Glenn","06021","23.2"
"CA","San Francisco","06075","19.8"
"CA","Alpine","06003","23.5"
"CA","San Joaquin","06077","19.7"
"CA","Contra Costa","06013","19.7"
"CA","Mono","06051","23.4"
"CA","Sutter","06101","22.0"
"CA","Yuba","06115","23.6"
"CA","Los Angeles","06037","19.3"
"CA","Calaveras","06009","25.6"
"CA","Lassen","06035","23.1"
"CA","Stanislaus","06099","21.0"
"CA","Alameda","06001","18.9"
"CA","Riverside","06065","22.0"
"CA","Santa Cruz","06087","23.3"
"CA","Mariposa","06043","25.0"
"CA","Monterey","06053","19.4"
"CA","Tulare","06107","22.1"
"CA","Humboldt","06023","26.8"
"CA","San Diego","06073","21.2"
"CA","San Luis Obispo","06079","23.7"
"CA","Tuolumne","06109","25.5"
"CA","Mendocino","06045","24.5"
"CA","Del Norte","06015","24.3"
"CA","Imperial","06025","20.0"
"CA","Shasta","06089","25.6"
"CA","Lake","06033","25.6"
"CA","Plumas","06063","26.3"
"CA","Sonoma","06097","23.9"
"CA","Marin","06041","22.1"
"CA","Napa","06055","21.8"
"CA","Butte","06007","26.0"
"CA","Merced","06047","21.3"
"CA","Trinity","06105","27.7"
"CA","Ventura","06111","21.1"
"CA","El Dorado","06017","23.9"
"CA","Inyo","06027","23.8"
"CA","San Mateo","06081","18.7"
"CA","Nevada","06057","25.3"
"CA","San Bernardino","06071","19.5"
"CA","Sierra","06091","26.0"
